"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GOType"
"GO:0003777","GO:0003777","microtubule motor activity","28/4485","47/17306",1.1020351897839e-06,0.000232789521651326,0.000203273146896493,"Os01g0243100/Os01g0260100/Os01g0513900/Os01g0605500/Os02g0645100/Os02g0742900/Os02g0775400/Os02g0810200/Os03g0114000/Os03g0301800/Os03g0587200/Os04g0350300/Os04g0375900/Os04g0467901/Os04g0629700/Os05g0117798/Os05g0397900/Os05g0459400/Os06g0554700/Os08g0117000/Os08g0547500/Os08g0558400/Os10g0512800/Os11g0552600/Os11g0648100/Os12g0547500/Os12g0590500/Os12g0616000",28,"MF"
"GO:0016209","GO:0016209","antioxidant activity","79/4485","189/17306",1.29963983688192e-06,0.000232789521651326,0.000203273146896493,"Os01g0172600/Os01g0205900/Os01g0270300/Os01g0294500/Os01g0294700/Os01g0378100/Os01g0794400/Os01g0835500/Os01g0962700/Os02g0236600/Os02g0240100/Os02g0240300/Os02g0537700/Os02g0664000/Os02g0813500/Os02g0833900/Os03g0121200/Os03g0121300/Os03g0131200/Os03g0285700/Os03g0339300/Os03g0339400/Os03g0358100/Os03g0368900/Os03g0369600/Os03g0405500/Os03g0405900/Os03g0434800/Os04g0556300/Os04g0602100/Os04g0656800/Os04g0688300/Os04g0689000/Os05g0134400/Os05g0134800/Os05g0135500/Os05g0323900/Os05g0465800/Os05g0497700/Os05g0499300/Os05g0499400/Os05g0528000/Os06g0115400/Os06g0174300/Os06g0196300/Os06g0274800/Os06g0521500/Os06g0546500/Os06g0547400/Os06g0681600/Os06g0695200/Os06g0695300/Os06g0695400/Os06g0695500/Os06g0727200/Os07g0260300/Os07g0638300/Os07g0638400/Os07g0639400/Os07g0657900/Os07g0665200/Os07g0677200/Os07g0677300/Os07g0677400/Os07g0677500/Os07g0677600/Os08g0302000/Os08g0522400/Os08g0549100/Os09g0471100/Os09g0538600/Os10g0109600/Os10g0536700/Os11g0112200/Os11g0661600/Os12g0111800/Os12g0191500/Os12g0448900/Os12g0530100",79,"MF"
"GO:0016903","GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","25/4485","44/17306",1.33409356140796e-05,0.00109014502446479,0.00095192089456854,"Os01g0848200/Os02g0601300/Os02g0646500/Os02g0647900/Os02g0730000/Os02g0739600/Os03g0129300/Os03g0167600/Os03g0760700/Os04g0119400/Os04g0459500/Os04g0464200/Os04g0486600/Os04g0540600/Os05g0408900/Os05g0455500/Os05g0536400/Os06g0246500/Os07g0188800/Os08g0298700/Os09g0440300/Os09g0567500/Os11g0186200/Os12g0178000/Os12g0183100",25,"MF"
"GO:0003774","GO:0003774","motor activity","31/4485","60/17306",1.76227828555659e-05,0.00134403090578449,0.00117361550385488,"Os01g0243100/Os01g0260100/Os01g0513900/Os01g0605500/Os02g0645100/Os02g0742900/Os02g0775400/Os02g0810200/Os03g0114000/Os03g0301800/Os03g0587200/Os04g0350300/Os04g0375900/Os04g0467901/Os04g0629700/Os05g0117798/Os05g0397900/Os05g0459400/Os05g0537200/Os06g0554700/Os08g0117000/Os08g0547500/Os08g0558400/Os10g0488800/Os10g0512800/Os11g0552600/Os11g0648100/Os12g0547500/Os12g0590500/Os12g0616000/Os12g0633700",31,"MF"
"GO:0016684","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor","67/4485","165/17306",2.48767005693316e-05,0.00177868409070721,0.00155315716054577,"Os01g0172600/Os01g0205900/Os01g0270300/Os01g0294500/Os01g0294700/Os01g0378100/Os01g0835500/Os01g0962700/Os02g0236600/Os02g0240100/Os02g0240300/Os02g0537700/Os02g0664000/Os02g0833900/Os03g0121200/Os03g0121300/Os03g0131200/Os03g0285700/Os03g0339300/Os03g0339400/Os03g0358100/Os03g0368900/Os03g0369600/Os03g0434800/Os04g0556300/Os04g0602100/Os04g0656800/Os04g0688300/Os04g0689000/Os05g0134400/Os05g0134800/Os05g0135500/Os05g0465800/Os05g0499300/Os05g0499400/Os05g0528000/Os06g0274800/Os06g0521500/Os06g0546500/Os06g0547400/Os06g0681600/Os06g0695200/Os06g0695300/Os06g0695400/Os06g0695500/Os06g0727200/Os07g0638300/Os07g0638400/Os07g0639400/Os07g0677200/Os07g0677300/Os07g0677400/Os07g0677500/Os07g0677600/Os08g0302000/Os08g0522400/Os08g0549100/Os09g0471100/Os09g0538600/Os10g0109600/Os10g0536700/Os11g0112200/Os11g0661600/Os12g0111800/Os12g0191500/Os12g0448900/Os12g0530100",67,"MF"
"GO:0004553","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","130/4485","374/17306",7.91563737755618e-05,0.00476604692627593,0.00416173954088688,"Os01g0268600/Os01g0296700/Os01g0303100/Os01g0312800/Os01g0508000/Os01g0580200/Os01g0618900/Os01g0636500/Os01g0663300/Os01g0713200/Os01g0746700/Os01g0813800/Os01g0860800/Os01g0930800/Os01g0940700/Os01g0942300/Os01g0944700/Os01g0944800/Os01g0946700/Os01g0952600/Os02g0106100/Os02g0129600/Os02g0131400/Os02g0151300/Os02g0219200/Os02g0256100/Os02g0528200/Os02g0534400/Os02g0605900/Os02g0733300/Os02g0752200/Os03g0108300/Os03g0117300/Os03g0132900/Os03g0141200/Os03g0165400/Os03g0221500/Os03g0227400/Os03g0239000/Os03g0255100/Os03g0351300/Os03g0374600/Os03g0397600/Os03g0669300/Os03g0703100/Os03g0722500/Os03g0792800/Os03g0828500/Os03g0854600/Os04g0347200/Os04g0413500/Os04g0481000/Os04g0513400/Os04g0640700/Os04g0664900/Os05g0244500/Os05g0247100/Os05g0365600/Os05g0366600/Os05g0375400/Os05g0391500/Os05g0399300/Os05g0415700/Os05g0428100/Os05g0495900/Os05g0542800/Os05g0578600/Os05g0587000/Os06g0106800/Os06g0247900/Os06g0256900/Os06g0320200/Os06g0335975/Os06g0356800/Os06g0367100/Os06g0683300/Os06g0696600/Os06g0697000/Os06g0713800/Os06g0726200/Os06g0726400/Os07g0480800/Os07g0529700/Os07g0539300/Os07g0539900/Os07g0543100/Os07g0543300/Os07g0577300/Os07g0656200/Os07g0679300/Os08g0244500/Os08g0509200/Os08g0518900/Os09g0272300/Os09g0395600/Os09g0487600/Os09g0494200/Os09g0502200/Os09g0511600/Os09g0511700/Os09g0511900/Os09g0520800/Os09g0533200/Os09g0533900/Os10g0117000/Os10g0140200/Os10g0160100/Os10g0340600/Os10g0370500/Os10g0416800/Os10g0465700/Os10g0492900/Os10g0521000/Os10g0545500/Os11g0131900/Os11g0132600/Os11g0297800/Os11g0462100/Os11g0525600/Os11g0539200/Os11g0700900/Os11g0701000/Os11g0701100/Os11g0701200/Os11g0701500/Os11g0701600/Os11g0702100/Os12g0128700/Os12g0429200/Os12g0554800",130,"MF"
"GO:0004601","GO:0004601","peroxidase activity","64/4485","162/17306",9.87674802281121e-05,0.00525748317770601,0.00459086449727917,"Os01g0172600/Os01g0205900/Os01g0270300/Os01g0294500/Os01g0294700/Os01g0378100/Os01g0835500/Os01g0962700/Os02g0236600/Os02g0240100/Os02g0240300/Os02g0664000/Os02g0833900/Os03g0121200/Os03g0121300/Os03g0131200/Os03g0285700/Os03g0339300/Os03g0339400/Os03g0358100/Os03g0368900/Os03g0369600/Os03g0434800/Os04g0556300/Os04g0602100/Os04g0656800/Os04g0688300/Os04g0689000/Os05g0134400/Os05g0134800/Os05g0135500/Os05g0465800/Os05g0499300/Os05g0499400/Os05g0528000/Os06g0274800/Os06g0521500/Os06g0546500/Os06g0547400/Os06g0681600/Os06g0695200/Os06g0695300/Os06g0695400/Os06g0695500/Os06g0727200/Os07g0639400/Os07g0677200/Os07g0677300/Os07g0677400/Os07g0677500/Os07g0677600/Os08g0302000/Os08g0522400/Os08g0549100/Os09g0471100/Os09g0538600/Os10g0109600/Os10g0536700/Os11g0112200/Os11g0661600/Os12g0111800/Os12g0191500/Os12g0448900/Os12g0530100",64,"MF"
"GO:0016620","GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","20/4485","36/17306",0.000148875388053775,0.00709639349722992,0.00619661154662422,"Os01g0848200/Os02g0601300/Os02g0646500/Os02g0647900/Os02g0730000/Os03g0129300/Os03g0167600/Os03g0760700/Os04g0459500/Os04g0464200/Os04g0486600/Os04g0540600/Os05g0455500/Os05g0536400/Os07g0188800/Os08g0298700/Os09g0440300/Os09g0567500/Os11g0186200/Os12g0178000",20,"MF"
"GO:0003700","GO:0003700","DNA-binding transcription factor activity","160/4485","496/17306",0.00080537587025123,0.0326294004436868,0.0284921798132672,"Os01g0165000/Os01g0185900/Os01g0186000/Os01g0211800/Os01g0313300/Os01g0542700/Os01g0571300/Os01g0626400/Os01g0656400/Os01g0658900/Os01g0733200/Os01g0734000/Os01g0750100/Os01g0752500/Os01g0756200/Os01g0801901/Os01g0813300/Os01g0818400/Os01g0821300/Os01g0821600/Os01g0826400/Os01g0859300/Os01g0867300/Os01g0868000/Os02g0132500/Os02g0147800/Os02g0175100/Os02g0191600/Os02g0220400/Os02g0232000/Os02g0266800/Os02g0527300/Os02g0565600/Os02g0579600/Os02g0638650/Os02g0649300/Os02g0655200/Os02g0656600/Os02g0677300/Os02g0731200/Os02g0739700/Os02g0764700/Os02g0766700/Os02g0797100/Os03g0152100/Os03g0182800/Os03g0183000/Os03g0271100/Os03g0318600/Os03g0324200/Os03g0324300/Os03g0325600/Os03g0335200/Os03g0336200/Os03g0680700/Os03g0696300/Os03g0732100/Os03g0741400/Os03g0745000/Os03g0758950/Os03g0769800/Os03g0795900/Os03g0796900/Os03g0809200/Os04g0398000/Os04g0429050/Os04g0541700/Os04g0569100/Os04g0637000/Os04g0648900/Os04g0653600/Os04g0655700/Os05g0129700/Os05g0316800/Os05g0322900/Os05g0361700/Os05g0437700/Os05g0474800/Os05g0497200/Os05g0530400/Os05g0549800/Os05g0565900/Os05g0569300/Os05g0572000/Os05g0583000/Os05g0586600/Os06g0108900/Os06g0140400/Os06g0140700/Os06g0166400/Os06g0211200/Os06g0217300/Os06g0229300/Os06g0245900/Os06g0265400/Os06g0504900/Os06g0553100/Os06g0601500/Os06g0604000/Os06g0639200/Os06g0646600/Os06g0649000/Os06g0719500/Os07g0124700/Os07g0158500/Os07g0227600/Os07g0235800/Os07g0410700/Os07g0583700/Os07g0680400/Os07g0685700/Os07g0687700/Os08g0112700/Os08g0176900/Os08g0187500/Os08g0242800/Os08g0386200/Os08g0408500/Os08g0416000/Os08g0472000/Os08g0474000/Os08g0487100/Os08g0499300/Os08g0521600/Os08g0543900/Os08g0546800/Os08g0549600/Os08g0565200/Os09g0286600/Os09g0287000/Os09g0334500/Os09g0379600/Os09g0447000/Os09g0456200/Os09g0516200/Os09g0522000/Os09g0522200/Os09g0526600/Os09g0528200/Os10g0377300/Os10g0404900/Os10g0419300/Os10g0531900/Os10g0534900/Os10g0575600/Os11g0116900/Os11g0152700/Os11g0154900/Os11g0168500/Os11g0448400/Os11g0490900/Os12g0116800/Os12g0152900/Os12g0158800/Os12g0162500/Os12g0168100/Os12g0194600/Os12g0507300/Os12g0603300/Os12g0634500",160,"MF"
"GO:0016798","GO:0016798","hydrolase activity, acting on glycosyl bonds","136/4485","414/17306",0.000866381803352671,0.0326294004436868,0.0284921798132672,"Os01g0167400/Os01g0268600/Os01g0296700/Os01g0303100/Os01g0312800/Os01g0508000/Os01g0580200/Os01g0618900/Os01g0636500/Os01g0663300/Os01g0713200/Os01g0746700/Os01g0813800/Os01g0860800/Os01g0930800/Os01g0940700/Os01g0942300/Os01g0944700/Os01g0944800/Os01g0946700/Os01g0952600/Os02g0106100/Os02g0129600/Os02g0131400/Os02g0151300/Os02g0219200/Os02g0256100/Os02g0528200/Os02g0534400/Os02g0605900/Os02g0733300/Os02g0752200/Os02g0802200/Os03g0108300/Os03g0117300/Os03g0132900/Os03g0141200/Os03g0165400/Os03g0221500/Os03g0227400/Os03g0239000/Os03g0255100/Os03g0351300/Os03g0374600/Os03g0397600/Os03g0669300/Os03g0703100/Os03g0722500/Os03g0792800/Os03g0828500/Os03g0854600/Os04g0347200/Os04g0413500/Os04g0481000/Os04g0513400/Os04g0640700/Os04g0664900/Os05g0244500/Os05g0247100/Os05g0365600/Os05g0366600/Os05g0375400/Os05g0391500/Os05g0399300/Os05g0415700/Os05g0428100/Os05g0495900/Os05g0542800/Os05g0578600/Os05g0587000/Os06g0106800/Os06g0247900/Os06g0256900/Os06g0320200/Os06g0335975/Os06g0356800/Os06g0367100/Os06g0683300/Os06g0696600/Os06g0697000/Os06g0713800/Os06g0726200/Os06g0726400/Os07g0480800/Os07g0529700/Os07g0539300/Os07g0539900/Os07g0543100/Os07g0543300/Os07g0577300/Os07g0656200/Os07g0679300/Os08g0244500/Os08g0304900/Os08g0489300/Os08g0509200/Os08g0518900/Os09g0272300/Os09g0395600/Os09g0420300/Os09g0487600/Os09g0494200/Os09g0502200/Os09g0511600/Os09g0511700/Os09g0511900/Os09g0520800/Os09g0533200/Os09g0533900/Os10g0117000/Os10g0140200/Os10g0160100/Os10g0340600/Os10g0370500/Os10g0416800/Os10g0465700/Os10g0492900/Os10g0521000/Os10g0545500/Os10g0570700/Os11g0131900/Os11g0132600/Os11g0297800/Os11g0462100/Os11g0525600/Os11g0539200/Os11g0700900/Os11g0701000/Os11g0701100/Os11g0701200/Os11g0701500/Os11g0701600/Os11g0702100/Os12g0128700/Os12g0429200/Os12g0554800",136,"MF"
