"","RAP","SYMBOL"
"1","Os01g0100700","LOC4326457"
"11","Os01g0100900","LOC4326459"
"75","Os01g0101200","LOC4326460"
"95","Os01g0101700","LOC4326463"
"101","Os01g0101800","LOC4326464"
"117","Os01g0102300","LOC4326466"
"125","Os01g0102600","LOC4326439"
"153","Os01g0102900","LOC4326442"
"165","Os01g0103700","LOC4326450"
"179","Os01g0105900","LOC4326303"
"197","Os01g0106300","LOC4326148"
"203","Os01g0106400","LOC4326149"
"209","Os01g0108600","LOC4326163"
"223","Os01g0108800","LOC9268327"
"231","Os01g0110200","LOC4326135"
"237","Os01g0110400","LOC4326136"
"279","Os01g0110800","LOC4326139"
"291","Os01g0111100","LOC4326140"
"297","Os01g0111400","None"
"342","Os01g0111600","MFT2"
"352","Os01g0111700","LOC4326146"
"356","Os01g0112300","LOC4326118"
"392","Os01g0112500","LOC9266830"
"402","Os01g0113500","LOC4326127"
"410","Os01g0114100","LOC4326104"
"422","Os01g0114300","None"
"434","Os01g0115100","None"
"452","Os01g0115600","LOC4326086"
"460","Os01g0115700","LOC4326087"
"466","Os01g0118700","LOC4326079"
"476","Os01g0119000","LOC4326082"
"496","Os01g0119050","None"
"508","Os01g0119100","LOC4326083"
"538","Os01g0120300","None"
"592","Os01g0120600","LOC9268813"
"606","Os01g0120700","LOC4326037"
"618","Os01g0121500","LOC4326043"
"624","Os01g0121600","LOC4326044"
"628","Os01g0124100","LOC4326000"
"632","Os01g0124200","LOC9268662"
"636","Os01g0124401","LOC9271230"
"640","Os01g0124650","LOC9267088"
"644","Os01g0125600","LOC4326005"
"652","Os01g0125800","LOC4326007"
"666","Os01g0126200","LOC4326011"
"674","Os01g0126900","LOC4325983"
"682","Os01g0127900","LOC4325991"
"694","Os01g0128200","LOC4325994"
"712","Os01g0128250","None"
"716","Os01g0128300","LOC4325995"
"730","Os01g0130000","LOC4325974"
"778","Os01g0130900","LOC4325978"
"782","Os01g0132000","LOC4325794"
"788","Os01g0133100","LOC4325802"
"798","Os01g0133200","LOC4325803"
"802","Os01g0133832","None"
"806","Os01g0133900","LOC4325808"
"810","Os01g0135700","LOC4325693"
"814","Os01g0136300","LOC4325699"
"818","Os01g0137700","None"
"824","Os01g0137800","None"
"828","Os01g0137875","None"
"834","Os01g0138500","LOC4325682"
"848","Os01g0139200","LOC4325473"
"866","Os01g0139600","LOC4325474"
"896","Os01g0139700","LOC9270987"
"900","Os01g0140100","LOC4325476"
"904","Os01g0141600","LOC4325481"
"936","Os01g0142100","LOC4325486"
"1020","Os01g0142300","None"
"1164","Os01g0142500","LOC4325454"
"1172","Os01g0142600","LOC4325456"
"1176","Os01g0143800","LOC4325462"
"1192","Os01g0144100","LOC4325465"
"1213","Os01g0144600","LOC4325469"
"1225","Os01g0149800","LOC4325218"
"1233","Os01g0150000","LOC4324516"
"1251","Os01g0150200","None"
"1291","Os01g0151200","LOC4324524"
"1378","Os01g0151400","LOC4324525"
"1394","Os01g0151500","LOC4324526"
"1408","Os01g0151600","LOC4324527"
"1432","Os01g0151700","LOC4324493"
"1459","Os01g0152000","LOC4324494"
"1467","Os01g0152300","LOC4324495"
"1471","Os01g0152900","LOC4324500"
"1475","Os01g0153300","LOC4324504"
"1479","Os01g0153400","LOC4324505"
"1501","Os01g0154600","LOC4324074"
"1509","Os01g0155000","LOC4324077"
"1513","Os01g0155500","LOC4324079"
"1525","Os01g0155800","LOC4324081"
"1533","Os01g0158000","LOC4324088"
"1581","Os01g0159000","LOC4324059"
"1587","Os01g0159200","LOC4324060"
"1591","Os01g0159300","LOC4324061"
"1623","Os01g0159400","LOC4324062"
"1665","Os01g0159600","LOC4324064"
"1671","Os01g0159800","LOC4324065"
"1695","Os01g0160100","LOC4324066"
"1709","Os01g0161000","None"
"1717","Os01g0161300","None"
"1725","Os01g0162500","LOC107278768"
"1729","Os01g0165000","LOC4324418"
"1750","Os01g0166100","LOC4327139"
"1770","Os01g0166700","LOC4327145"
"1784","Os01g0166800","LOC4327146"
"1814","Os01g0167400","LOC4325182"
"1820","Os01g0167700","LOC9272035"
"2010","Os01g0167800","LOC4325185"
"2022","Os01g0167900","LOC4325186"
"2042","Os01g0168600","LOC4325193"
"2058","Os01g0168800","LOC4325195"
"2068","Os01g0169500","LOC4325197"
"2146","Os01g0170000","LOC4325200"
"2150","Os01g0170051","None"
"2156","Os01g0170100","LOC4327632"
"2172","Os01g0170300","LOC4327633"
"2178","Os01g0170500","LOC4327635"
"2194","Os01g0171000","LOC4327640"
"2244","Os01g0172400","LOC4327647"
"2304","Os01g0172600","LOC4327648"
"2312","Os01g0173000","LOC4327119"
"2330","Os01g0173600","LOC4327121"
"2338","Os01g0174700","LOC4327129"
"2348","Os01g0174900","LOC4327130"
"2364","Os01g0176200","LOC4326220"
"2376","Os01g0176500","LOC4326223"
"2396","Os01g0177100","LOC4326225"
"2586","Os01g0177900","None"
"2679","Os01g0178500","LOC4323871"
"2691","Os01g0179800","LOC4325348"
"2717","Os01g0180300","LOC4325351"
"2729","Os01g0181300","None"
"2735","Os01g0182400","LOC4325363"
"2762","Os01g0182600","LOC4325329"
"3034","Os01g0183300","LOC4325335"
"3050","Os01g0183600","LOC4325338"
"3054","Os01g0183950","None"
"3058","Os01g0184800","LOC4325346"
"3068","Os01g0184900","LOC4325652"
"3170","Os01g0185350","None"
"3174","Os01g0185400","LOC4325655"
"3192","Os01g0185900","LOC4325657"
"3204","Os01g0186000","LOC4325658"
"3208","Os01g0186200","LOC4325659"
"3256","Os01g0187200","None"
"3260","Os01g0187300","None"
"3266","Os01g0187900","LOC4326766"
"3274","Os01g0188100","LOC4326767"
"3322","Os01g0188400","LOC4326769"
"3392","Os01g0190300","LOC4326775"
"3410","Os01g0190400","LOC4326776"
"3450","Os01g0191100","LOC4326782"
"3465","Os01g0191200","LOC4327297"
"3477","Os01g0191800","LOC4327302"
"3537","Os01g0192000","LOC4327304"
"3549","Os01g0192300","LOC4327305"
"3561","Os01g0192900","LOC4327307"
"3569","Os01g0193600","LOC4327311"
"3602","Os01g0194000","LOC4327313"
"3616","Os01g0194200","LOC4327314"
"3628","Os01g0195200","None"
"3638","Os01g0195400","LOC4327322"
"3642","Os01g0197700","LOC4327333"
"3652","Os01g0198000","LOC4327336"
"3688","Os01g0198200","LOC4327338"
"3805","Os01g0199400","LOC4327343"
"3865","Os01g0199550","None"
"3871","Os01g0200000","LOC4327346"
"3904","Os01g0200350","None"
"3932","Os01g0200400","LOC4327349"
"3956","Os01g0201600","LOC4327070"
"3968","Os01g0202500","LOC4327073"
"3974","Os01g0204000","LOC4327080"
"4008","Os01g0205200","LOC4327084"
"4012","Os01g0205300","LOC4327085"
"4020","Os01g0205600","LOC4327088"
"4024","Os01g0205900","LOC4327090"
"4040","Os01g0208700","LOC4325531"
"4090","Os01g0209400","LOC4325535"
"4112","Os01g0209800","LOC4325538"
"4124","Os01g0210300","LOC4325539"
"4134","Os01g0210900","LOC4325562"
"4138","Os01g0211800","LOC4325565"
"4148","Os01g0212700","LOC4325570"
"4152","Os01g0214200","LOC4325253"
"4164","Os01g0214500","LOC4325256"
"4170","Os01g0214800","LOC4325258"
"4221","Os01g0215500","LOC9270889"
"4233","Os01g0216000","LOC4325264"
"4245","Os01g0217500","LOC4324580"
"4263","Os01g0217800","LOC4324581"
"4279","Os01g0218800","LOC4324588"
"4375","Os01g0220300","LOC4324645"
"4381","Os01g0220400","LOC4324646"
"4387","Os01g0220500","LOC4324647"
"4399","Os01g0221500","LOC4324652"
"4403","Os01g0221600","LOC4324653"
"4417","Os01g0221700","LOC9272318"
"4439","Os01g0221800","None"
"4445","Os01g0221900","LOC4326697"
"4459","Os01g0222300","LOC4326698"
"4469","Os01g0222500","LOC4326699"
"4483","Os01g0223500","LOC107277076"
"4489","Os01g0223600","LOC4326708"
"4495","Os01g0224000","LOC4326711"
"4499","Os01g0224200","LOC4326730"
"4505","Os01g0224400","LOC4326732"
"4517","Os01g0224700","LOC4326734"
"4527","Os01g0225000","LOC4326735"
"4533","Os01g0225400","LOC4326739"
"4541","Os01g0226200","LOC4326741"
"4550","Os01g0226250","None"
"4556","Os01g0226300","LOC4326742"
