"","V1","V2"
"1","Os01g0100700","LOC_Os01g01060"
"2","Os01g0100900","LOC_Os01g01080"
"3","Os01g0101200","LOC_Os01g01120"
"4","Os01g0101700","LOC_Os01g01160"
"5","Os01g0101800","LOC_Os01g01170"
"6","Os01g0102300","LOC_Os01g01280"
"7","Os01g0102600","LOC_Os01g01302"
"8","Os01g0102900","LOC_Os01g01340"
"9","Os01g0103700","LOC_Os01g01380"
"10","Os01g0105900","LOC_Os01g01620"
"11","Os01g0106300","LOC_Os01g01650"
"12","Os01g0106400","LOC_Os01g01660"
"13","Os01g0108600","LOC_Os01g01870"
"14","Os01g0108800","LOC_Os01g01890"
"15","Os01g0110200","LOC_Os01g02010"
"16","Os01g0110400","LOC_Os01g02020"
"17","Os01g0110800","LOC_Os01g02060"
"18","Os01g0111100","LOC_Os01g02080"
"19","Os01g0111400","LOC_Os01g02100"
"20","Os01g0111600","LOC_Os01g02120"
"21","Os01g0111700","LOC_Os01g02130"
"22","Os01g0112300","LOC_Os01g02180"
"23","Os01g0112500","LOC_Os01g02200"
"24","Os01g0113500","None"
"25","Os01g0114100","LOC_Os01g02390"
"26","Os01g0114300","LOC_Os01g02400"
"27","Os01g0115100","LOC_Os01g02490"
"28","Os01g0115600","LOC_Os01g02560"
"29","Os01g0115700","LOC_Os01g02570"
"30","Os01g0118700","LOC_Os01g02920"
"31","Os01g0119000","LOC_Os01g02930"
"32","Os01g0119050","LOC_Os01g02940"
"33","Os01g0119100","LOC_Os01g02940"
"34","Os01g0120300","LOC_Os01g03020"
"35","Os01g0120600","LOC_Os01g03050"
"36","Os01g0120700","LOC_Os01g03060"
"37","Os01g0121500","LOC_Os01g03130"
"38","Os01g0121600","LOC_Os01g03144"
"39","Os01g0124100","LOC_Os01g03330"
"40","Os01g0124200","LOC_Os01g03340"
"41","Os01g0124401","LOC_Os01g03360"
"42","Os01g0124650","LOC_Os01g03390"
"43","Os01g0125600","LOC_Os01g03490"
"44","Os01g0125800","LOC_Os01g03510"
"45","Os01g0126200","LOC_Os01g03549"
"46","Os01g0126900","LOC_Os01g03620"
"47","Os01g0127900","LOC_Os01g03710"
"48","Os01g0128200","LOC_Os01g03730"
"49","Os01g0128250","None"
"50","Os01g0128300","LOC_Os01g03750"
"51","Os01g0130000","LOC_Os01g03914"
"52","Os01g0130900","LOC_Os01g03980"
"53","Os01g0132000","LOC_Os01g04050"
"54","Os01g0133100","LOC_Os01g04160"
"55","Os01g0133200","LOC_Os01g04170"
"56","Os01g0133832","None"
"57","Os01g0133900","LOC_Os01g04230"
"58","Os01g0135700","LOC_Os01g04330"
"59","Os01g0136300","LOC_Os01g04390"
"60","Os01g0137700","LOC_Os01g04540"
"61","Os01g0137800","None"
"62","Os01g0137875","None"
"63","Os01g0138500","LOC_Os01g04590"
"64","Os01g0139200","LOC_Os01g04650"
"65","Os01g0139600","LOC_Os01g04660"
"66","Os01g0139700","LOC_Os01g04670"
"67","Os01g0140100","LOC_Os01g04710"
"68","Os01g0141600","LOC_Os01g04860"
"69","Os01g0142100","LOC_Os01g04900"
"70","Os01g0142300","LOC_Os01g04920"
"71","Os01g0142500","LOC_Os01g04930"
"72","Os01g0142600","LOC_Os01g04950"
"73","Os01g0143800","LOC_Os01g05060"
"74","Os01g0144100","LOC_Os01g05080"
"75","Os01g0144600","LOC_Os01g05130"
"76","Os01g0149800","LOC_Os01g05650"
"77","Os01g0150000","LOC_Os01g05670"
"78","Os01g0150200","LOC_Os01g05694"
"79","Os01g0151200","LOC_Os01g05800"
"80","Os01g0151400","LOC_Os01g05810"
"81","Os01g0151500","LOC_Os01g05820"
"82","Os01g0151600","LOC_Os01g05830"
"83","Os01g0151700","LOC_Os01g05840"
