,aligned_reads_sorted_SRR15838464.bam,aligned_reads_sorted_SRR15838465.bam,aligned_reads_sorted_SRR15838468.bam,aligned_reads_sorted_SRR15838469.bam
Os01g0100100,3218,2047,3456,2795
Os01g0100200,4,0,2,0
Os01g0100300,0,0,0,0
Os01g0100400,488,526,635,580
Os01g0100466,0,0,0,0
Os01g0100500,3482,3520,4284,5040
Os01g0100600,1088,900,1277,1480
Os01g0100650,0,0,0,0
Os01g0100700,8335,4796,8171,4353
Os01g0100800,1499,1652,1844,2211
Os01g0100900,7799,10538,8364,14948
Os01g0101150,194,117,157,132
Os01g0101175,0,0,0,0
Os01g0101200,1954,855,3476,1335
Os01g0101300,43,43,65,104
Os01g0101600,4206,4177,5675,6023
Os01g0101700,129,190,175,374
Os01g0101800,57,22,85,20
Os01g0101850,0,0,0,0
Os01g0101900,1,1,0,6
Os01g0102000,367,236,282,259
Os01g0102300,2278,781,3594,1347
Os01g0102400,26,17,44,16
Os01g0102500,1083,1283,1403,1803
Os01g0102600,5978,2103,7893,2366
Os01g0102700,7490,5053,7962,6644
Os01g0102800,1687,1717,2150,2325
Os01g0102850,256,197,278,225
Os01g0102900,92407,53231,85376,65131
Os01g0103000,704,385,624,406
Os01g0103050,0,1,0,0
Os01g0103100,36,43,41,55
Os01g0103075,0,0,0,0
Os01g0103400,160,190,198,267
Os01g0103600,6552,4820,8133,6717
Os01g0103650,0,0,0,0
Os01g0103700,471,277,630,344
Os01g0103800,2539,2046,2753,2938
Os01g0103900,168,193,195,360
Os01g0104000,3038,3659,3812,5231
Os01g0104100,4760,4622,5823,6241
Os01g0104200,153,186,210,406
Os01g0104350,590,666,790,1199
Os01g0104400,10282,11456,12399,15171
Os01g0104500,28,9,42,29
Os01g0104600,2019,1546,2250,2055
Os01g0104800,3667,2581,2955,2141
Os01g0104900,404,540,691,1545
Os01g0105300,0,1,0,0
Os01g0105400,524,436,550,440
Os01g0105700,124,75,160,95
Os01g0105800,208,223,263,362
Os01g0105900,7036,8447,9390,15049
Os01g0106200,2593,1817,2769,2625
Os01g0106300,1102,352,1372,265
Os01g0106400,1558,566,1113,408
