"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os01g0100100",2849.18628328033,-0.444905534906841,0.187607981383633,-2.37146379181528,0.0177177825975441,0.0619015615615605
"Os01g0100400",554.541269513136,0.0357293723820909,0.251524154005555,0.142051456343639,0.887039361462,0.942294452107853
"Os01g0100500",4021.9631715051,0.162638078305978,0.16773912842671,0.969589384608249,0.332251206307435,0.530608652942994
"Os01g0100600",1162.82484530443,0.0111651830656887,0.20329549074165,0.0549209577888648,0.956201435175011,0.97787504148574
"Os01g0100700",6445.88055631683,-0.788146090865276,0.275696019107694,-2.85875034908431,0.0042531335896366,0.0191764345339625
"Os01g0100800",1781.30643066278,0.239124632142458,0.18232823395356,1.31150632547323,0.189686758076818,0.363925508261531
"Os01g0100900",10307.9189515193,0.670108749581274,0.178099199761349,3.76255901474691,0.000168183604958572,0.00123513447578869
"Os01g0101150",150.778448042457,-0.474804699101458,0.391444566689704,-1.21295513977036,0.225146972310891,0.410601913862071
"Os01g0101200",1841.43820999259,-1.27161637321301,0.249992749278872,-5.08661301930201,3.6451453547888e-07,5.25944336403585e-06
"Os01g0101300",61.0078837348654,0.423363046191076,0.534900555607813,0.79147991482268,0.428663992232291,0.623040498042363
"Os01g0101600",4932.62197263522,0.07398384924574,0.17294602355261,0.427785778047878,0.668807092172874,0.812435757319332
"Os01g0101700",210.067365961069,0.883511090099095,0.329473450600688,2.68158508216155,0.00732742787943983,0.0301239954840446
"Os01g0101800",45.2075030426548,-1.67865000589736,0.593888794804227,-2.82653927904251,0.00470539728660266,0.0209015735115844
"Os01g0102000",288.29688890518,-0.370162199505231,0.352662200449886,-1.04962255391426,0.293891683368379,0.490057310532071
"Os01g0102300",1936.15617945629,-1.44648557924402,0.231326878284005,-6.25299398830833,4.02657644104171e-10,1.05441036019828e-08
"Os01g0102400",25.3280136031684,-0.999311660950064,0.747147032999445,-1.33750335183464,0.181058388910222,0.353023546813054
"Os01g0102500",1372.94003509663,0.340105899745427,0.186644406073714,1.82221319620533,0.0684226430482563,0.176288311468618
"Os01g0102600",4510.23345743653,-1.57627827856984,0.207232594574835,-7.60632410072259,2.82001589262771e-14,1.38971631904218e-12
"Os01g0102700",6729.6697770119,-0.379608717894736,0.186317074277092,-2.03743387109106,0.0416065824953123,0.121256063115089
"Os01g0102800",1943.93444091986,0.106766419859364,0.180458195329649,0.591640737979954,0.554091188189385,0.727083057555316
"Os01g0102850",238.197404236876,-0.300072857270658,0.301632064100602,-0.994830765639611,0.319818580296702,0.517906770930333
"Os01g0102900",73885.1079901084,-0.566146739404115,0.222481309436367,-2.54469348835814,0.0109373697822772,0.0418774579823141
"Os01g0103000",531.830844953186,-0.71212387133779,0.298366217535505,-2.3867443077836,0.0169983090401484,0.059929360409499
"Os01g0103100",43.4566307060181,0.37773769125674,0.553452570860717,0.682511404128615,0.494915634156388,0.680300692648606
"Os01g0103400",201.051978731168,0.376974905702654,0.293507716939571,1.28437817456182,0.199009665783506,0.376535253458769
"Os01g0103600",6456.71023139375,-0.321802482598737,0.164894417920212,-1.95156686719649,0.050989650152339,0.141074534448827
"Os01g0103700",423.946188832643,-0.781798316911391,0.246245512746184,-3.17487335380289,0.00149901910584199,0.00809355171155033
"Os01g0103800",2538.25848356958,-0.0739904353875804,0.185643313360284,-0.398562350823726,0.690215707461982,0.825820306958771
"Os01g0103900",223.085191132324,0.595272571397516,0.311190497118975,1.91288801203312,0.055762390585696,0.151191053632408
"Os01g0104000",3878.59506620991,0.399920723556844,0.168372301214672,2.3752168300352,0.0175386439213146,0.061418466313433
"Os01g0104100",5296.67544462232,0.0668466123672837,0.168477058169987,0.396769821917463,0.691537206591177,0.826589044484487
"Os01g0104200",229.899532688102,0.686597898479833,0.343491042828092,1.9988815219949,0.0456211744736026,0.129673467084168
"Os01g0104350",789.398985021131,0.435156629725614,0.234199888071401,1.85805652303705,0.0631609880177294,0.165967769515892
"Os01g0104400",12201.8808787775,0.26203913906497,0.167229060175734,1.56694738814895,0.117126989739191,0.261538998495765
"Os01g0104500",25.7598468054035,-0.922728138365695,0.782458735423111,-1.17926747647176,0.238291684663881,0.426767864474591
"Os01g0104600",1948.14025759031,-0.221357520605668,0.18875834597581,-1.17270322253214,0.240914838696404,0.430078555111679
"Os01g0104800",2883.98749687667,-0.428114729086828,0.329955525095549,-1.29749222705955,0.194461877869352,0.370793600648943
"Os01g0104900",751.709290330953,0.893783308947223,0.371653628822342,2.40488250250469,0.0161776662825457,0.0576678855474171
"Os01g0105400",488.898485553324,-0.24087842759876,0.28455621687908,-0.846505587685401,0.39727075804315,0.594592734917211
