"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os01g0100700",6445.88055631683,-0.788146090865276,0.275696019107694,-2.85875034908431,0.0042531335896366,0.0191764345339625
"Os01g0100900",10307.9189515193,0.670108749581274,0.178099199761349,3.76255901474691,0.000168183604958572,0.00123513447578869
"Os01g0101200",1841.43820999259,-1.27161637321301,0.249992749278872,-5.08661301930201,3.6451453547888e-07,5.25944336403585e-06
"Os01g0101700",210.067365961069,0.883511090099095,0.329473450600688,2.68158508216155,0.00732742787943983,0.0301239954840446
"Os01g0101800",45.2075030426548,-1.67865000589736,0.593888794804227,-2.82653927904251,0.00470539728660266,0.0209015735115844
"Os01g0102300",1936.15617945629,-1.44648557924402,0.231326878284005,-6.25299398830833,4.02657644104171e-10,1.05441036019828e-08
"Os01g0102600",4510.23345743653,-1.57627827856984,0.207232594574835,-7.60632410072259,2.82001589262771e-14,1.38971631904218e-12
"Os01g0102900",73885.1079901084,-0.566146739404115,0.222481309436367,-2.54469348835814,0.0109373697822772,0.0418774579823141
"Os01g0103700",423.946188832643,-0.781798316911391,0.246245512746184,-3.17487335380289,0.00149901910584199,0.00809355171155033
"Os01g0105900",9717.45848237071,0.517303188431313,0.199944681606955,2.58723154961537,0.00967505520775519,0.0379027170136611
"Os01g0106300",766.216219969053,-1.90338895063703,0.33365922845262,-5.70458955822742,1.16623763630191e-08,2.30230652369727e-07
"Os01g0106400",928.016660537209,-1.38863962383888,0.394985668976701,-3.51567090379878,0.000438644340159348,0.00283068140267122
"Os01g0108600",2915.8017241363,-1.12319555558006,0.230168361489554,-4.87988682854239,1.06146733353175e-06,1.36899046251246e-05
"Os01g0108800",576.861055899297,-1.4529081520443,0.292872044990419,-4.96089735055402,7.01682671184312e-07,9.4370312927155e-06
"Os01g0110200",417.213018701266,-0.91611520114563,0.243668225490527,-3.75968265579726,0.000170129026588849,0.00124736379362837
"Os01g0110400",13114.854924858,2.12364220258416,0.238383759237744,8.90850202788442,5.17266896084403e-19,4.65191878599812e-17
"Os01g0110800",1813.72014404015,-1.37582556024846,0.193126049619422,-7.12397712768263,1.04856451841341e-12,4.16773188791995e-11
"Os01g0111100",929.065961777803,-1.26299520309991,0.343240433372115,-3.6796224462596,0.000233579515465533,0.00164832466527989
"Os01g0111400",1424.52152007427,0.620336066378235,0.225010141330012,2.75692492219013,0.00583477467420989,0.0250035025747066
"Os01g0111600",16.7958065099188,4.98674058650337,1.49204882382579,3.34221005832555,0.000831141365057875,0.00490061498028606
"Os01g0111700",426.870319405259,-1.20928617933105,0.394225482809509,-3.06749875911848,0.0021585835688742,0.0109700691056561
"Os01g0112300",2451.1470388119,0.468196400642154,0.175100634343763,2.67387038543205,0.00749814253728957,0.0306700439771829
"Os01g0112500",4090.21586653014,1.09426557690888,0.207951224662882,5.26212614848909,1.4239900585318e-07,2.26532307703302e-06
"Os01g0113500",310.869482878261,1.31694130281756,0.365561342766631,3.60251796005213,0.000315149618533199,0.00212944216488106
"Os01g0114100",23.873846471474,2.23035758106175,0.80570409049776,2.7682093306537,0.00563652394488354,0.0242825088012644
"Os01g0114300",1284.20053132665,0.813895177038108,0.204321829553664,3.98339804814806,6.79368238088717e-05,0.000558164430616722
"Os01g0115100",158.310246942589,-1.16231724617889,0.402651683292855,-2.88665686598786,0.00389358602624803,0.0178475515292749
